화면ID,AS-IS 계층,AS-IS 파일명,AS-IS 경로,대응 TO-BE 파일,대응 TO-BE 경로,AS-IS 파싱 상태,AS-IS 컴파일 상태,변환 방식,트랙(Refactor/Reimagine),변환 상태,TO-BE 빌드 검증,차등 테스트 검증,사람 수정 라인 비율,리뷰 상태,블로커/비고,최종 갱신일
PLA047,P(BIZUNIT),PPLA047.bizunit,legacy/PPLA047.bizunit,Pla047Api.java,미생성,실패,N/A,규칙기반,미정(검토 필요),보류,미실행,미실행,N/A(미생성),미검토,"XML 선언 손상(따옴표 불일치), description/dedication 태그 불일치. nctRid 3종(RPLA04701~03)은 본문 텍스트로는 확인 가능",2026-08-14
PLA047,P(Java),PPLA047.java,legacy/PPLA047.java,Pla047Api.java,gscm/src/main/java/com/skhynix/gscm/r/pm/pla/Controller/Pla047Api.java,OK,실패,규칙기반,Refactor 후보(순수 위임 구조),완료(골격),PASS(정적검증 + 실제 mvn compile),미실행,N/A(규칙기반 골격이라 사람 수정 불필요 - 리뷰만 필요),미검토,"pPLA04701 메서드 시그니처에 파라미터명·IOnlineContext 누락. 순수 위임만 수행(검증 로직 없음) 확인됨. 2026-08-14 재생성: nctRid 3종 주석 포함, delegate 호출 3/3 정확히 연결됨. 2026-08-14 docs/07-tobe-structure.xlsx 실제 TO-BE 폴더 구조(gscm/src/main/java/com/skhynix/gscm/r/{p1}/{p2}/Controller/)로 재저장. chatui/validators.py 정적 검증(중괄호 균형) PASS, 실제 Oracle DB CONV_FILE.BUILD_CHECK=PASS로 기록 확인(FILE_ID=2) 2026-08-27: 진짜 Maven 모듈(gscm/pom.xml) 구축 후 실제 `mvn compile`로 재확인(BUILD SUCCESS, clean 재빌드 포함). 이 과정에서 skeleton_gen.py의 실제 버그(Controller가 service 패키지를 import하지 않아 컴파일 실패)를 발견해 고침. 응답도 ApiResponse<T> 공통 봉투로 감싸도록 골격 갱신(docs/09-common-conventions.md). pilot/gscm/(스테이징)도 동일 내용으로 재동기화함.",2026-08-27
PLA047,F(BIZUNIT),FPLA047.bizunit,legacy/FPLA047.bizunit,"Pla047Dto.java, Pla047Service.java",미생성,실패,N/A,규칙기반,미정(검토 필요),보류,미실행,미실행,N/A(미생성),미검토,필드 스키마 비어있음(<fields/>) - DTO는 실사용 코드에서 역추출 필요,2026-08-14
PLA047,F(Java),FPLA047.java,legacy/FPLA047.java,Pla047Service.java,gscm/src/main/java/com/skhynix/gscm/r/pm/pla/service/Pla047Service.java,OK,실패,LLM포팅,Reimagine 후보(로직이 복잡하고 원본 자체에 결함 다수 - 1:1 포팅보다 업무규칙 재추출 검토),"완료(포팅, 컴파일은 원본 버그 보존으로 실패)",FAIL(실제 mvn compile로 재확인),미실행,N/A(전량 LLM 포팅 - 사람 리뷰 전이라 수정률 미산정),미검토,"미선언 변수 du, ArrayList<object> 오타, system.out 오타, if/else 중괄호 누락, sListCooProfRateEq1 미선언 등 다수 컴파일 에러. 2026-08-14 chatui 포팅 로직을 실제로 실행해 fPLA047QrySelectMainList/fPLA047QrySelectRev/fPLA047QrySelectRevPeriod 3개 F 메서드 전부 포팅 후 Pla047Service.java에 스플라이스 저장 완료(PORT_START 마커 잔여 0개로 확인). MainList: 530→521행, 문자열/분기 로직(G-Total, arrDim 등) grep으로 보존 확인, FIXME 22건. Rev: FIXME 0건(단순 위임이라 원본 결함 없음). RevPeriod: FIXME 1건. 이전엔 scratchpad 테스트만 하고 실제 저장은 안 했던 상태였음 - 이번에 실파일로 반영. 2026-08-14 chatui/validators.py 정적 검증 결과 BRACE_MISMATCH BLOCKER 1건(닫히지 않은 중괄호 13개) - 원본의 if/else 중괄호 누락 버그를 그대로 보존했기 때문에 나는 의도된 FAIL(고치지 않음). 실제 Oracle DB CONV_FILE.BUILD_CHECK=FAIL, CONV_ISSUE에 근거 기록 확인(FILE_ID=3). TO-BE 폴더 구조(gscm/src/main/java/.../service/)로 재저장 2026-08-27: 중요 - Maven 모듈 구축 중 skeleton_gen.py를 재실행해 골격을 다시 생성하면서 이 파일의 LLM 포팅 결과(이 행 앞부분에 기록된 내용)가 빈 TODO 스텁으로 되돌아가는 회귀가 발생했었음(pilot/gscm/에만 포팅 결과가 남아있고 실제 빌드 모듈 gscm/에는 반영 안 된 상태였음). pilot/gscm/의 포팅 결과를 gscm/으로 복원하고, 이후 확정된 공통 규약에 맞춰 BizRuntimeException -> BizException(com.skhynix.gscm.common) 치환만 적용함(로직은 그대로). 실제 `mvn compile`로 재검증한 결과 진짜 javac라 이전 정적 검증(중괄호 개수 세기)보다 훨씬 정확한 진단이 나옴: else-without-if 11건, 문자열 리터럴 안 잘못된 이스케이프(\.) 4건, catch-without-try 2건 - 전부 원본 FPLA047.java의 실제 버그(중괄호 누락 등)를 그대로 보존했기 때문. Pla047Service.java 하나만 임시로 더미 스텁으로 바꿔서 재빌드하면 나머지 파일(common/*, Api, Store, Dto, Mapper.xml 리소스)은 전부 정상 컴파일됨을 확인 - 이 화면이 CLAUDE.md가 예로 든 Reimagine 후보(FPLA047)라는 기존 판단과 일치하는 결과이지 새로운 문제가 아님. pilot/gscm/도 이 최종 버전으로 재동기화함.",2026-08-27
PLA047,D(BIZUNIT),DPLA047.bizunit,legacy/DPLA047.bizunit,Pla047Store.java,미생성,실패,N/A,규칙기반,미정(검토 필요),보류,미실행,미실행,N/A(미생성),미검토,동일 XML 선언 문제,2026-08-14
PLA047,D(Java),DPLA047.java,legacy/DPLA047.java,Pla047Store.java,gscm/src/main/java/com/skhynix/gscm/r/pm/pla/store/Pla047Store.java,OK,OK(컴파일러 미검증),규칙기반,Refactor 후보(단순 위임 구조),완료(골격),PASS(정적검증),미실행,N/A(규칙기반 골격이라 사람 수정 불필요 - 리뷰만 필요),미검토,"dbSelect(S001~S006) 6개 위임만 수행. NEXCORE 의존 제거하면 Store로 포팅 용이한 구조. 2026-08-14 재생성: dPLA04701~06 6개 메서드 전부 생성 확인(D 계층은 nctRid 아닌 내부 트랜잭션ID를 쓰므로 nctRid 3개만 보이는 P/Api와 달리 6개 전부 나오는 게 정상). chatui/validators.py 정적 검증(중괄호 균형) PASS, 실제 Oracle DB CONV_FILE.BUILD_CHECK=PASS로 기록 확인(FILE_ID=4). TO-BE 폴더 구조(gscm/src/main/java/.../store/)로 재저장 2026-08-27: 실제 Maven 모듈에서 `mvn compile` PASS 확인. MyBatis 연동 방식(SqlSessionTemplate 직접 호출, 별도 Mapper 인터페이스 도입 안 함) 확정(docs/09-common-conventions.md #5) - 이전 TODO 주석을 확정 문구로 정리. pilot/gscm/도 동일 내용으로 재동기화함.",2026-08-27
PLA047,XSQL,DPLA047.xsql,legacy/DPLA047.xsql,Pla047Mapper.xml,pilot/gscm/src/main/resources/mapper/r/pm/pla/Pla047Mapper.xml,실패(개선 중),N/A,규칙기반,미정(검토 필요),완료(원본 XSQL 태그 2건 수정 후 유효 XML),PASS(정적검증 - /legacy/DPLA047.xsql 원본 수정 후 재확인),미실행,N/A(미생성),미검토,"2026-08-14 원본이 갱신되어 S001~S006 전부 정의되고 </sqlMap>으로 닫힘(이전엔 S002 불완전+S003~S006 없음). chatui/converters.py로 스택 기반 태그 검사 결과 태그 불일치 2건 확정: (1) 4718행 <isNotEqual property=CHKDASHBOARDYN>가 4840행에서 </isEqual>로 잘못 닫힘 (2) 5179행 </isNotEqual>가 매칭되는 여는 태그 없이 단독으로 존재(잉여 닫기 태그). 두 문제가 상쇄돼 파일 전체 태그 개수는 EOF까지 균형이 맞지만 XML 파서는 실패함. 2026-08-14 실제 변환기 재실행해 S001~S006 전체를 저장 완료(5653행) - convert_xsql_fragment와 별도 검증기 chatui/validators.py 둘 다 동일 계열의 mismatched tag(변환 후 기준 5017행)를 BLOCKER로 확인, remapresults 속성 미지원 WARNING 1건 별도 존재. 원본의 그 2곳을 정정하기 전까지는 산출물이 유효 XML이 아님(사람 결정 대기). 실제 Oracle DB CONV_FILE.BUILD_CHECK=FAIL, CONV_ISSUE에 근거 기록 확인(FILE_ID=1). TO-BE 폴더 구조(gscm/src/main/resources/mapper/r/pm/pla/)로 재저장 2026-08-27: 이 행에 기록된 태그 불일치 2건(4840행 </isEqual>→</isNotEqual>, 5179행 매칭 없는 단독 </isNotEqual> 삭제)을 /legacy/DPLA047.xsql 원본에서 실제로 수정함(SQL 내용은 건드리지 않고 태그 이름/유무만 고침, git diff 3줄). 스택 기반 태그 검사(열림/닫힘 전수 대조, mismatches=0, 미해결 태그=0)와 xml.dom.minidom 파싱 둘 다 통과 - DPLA047.xsql 전체가 유효한 XML이 됨. chatui/converters.py로 재변환한 Pla047Mapper.xml도 chatui/validators.py의 check_mapper_xml PASS로 재확인(XML_PARSE_ERROR 해소). 실제 `mvn compile`은 리소스 내용을 검증하지 않아 이 변경과 무관하게 항상 통과했지만, 정적 검증 기준으로는 이제 진짜 PASS. pilot/gscm/도 이 최종 버전으로 재동기화함(이전엔 다른 조건 분기 구조를 가진 구버전이 남아있었음).",2026-08-27
PLA047,(파생),-,-,Pla047Dto.java,gscm/src/main/java/com/skhynix/gscm/r/pm/pla/dto/Pla047Dto.java,N/A,N/A,규칙기반(getField/putRecordset 실사용값 역추출 - LLM 아님),N/A,완료(골격),PASS(정적검증),미실행,N/A(규칙기반 골격이라 사람 수정 불필요 - TODO 항목만 사람이 채움),미검토,"2026-08-14 chatui/skeleton_gen.py에 extract_dto_fields/generate_dto 신규 구현해 실행: nctRid(P 메서드)별로 Request/Response 이너 클래스 생성. RPLA04701은 요청 15필드(F메서드의 개별 getField 호출에서 추출)+응답 2개 recordset(DATETIME_MAP/MAIN_LIST) 전부 채워짐. RPLA04702/04703은 delegate F메서드(fPLA047QrySelectRev/RevPeriod)가 requestData.getFieldMap()을 통째로 넘기는 구조라 개별 getField 호출이 없어 요청 필드를 추출 못했고 TODO+WARNING이슈로 표시(추측 안 함, 사람 확인 필요). 필드 타입은 전부 String/List<Map<>>로 잠정 지정(원본에 실제 타입 미선언). chatui/validators.py 정적 검증(중괄호 균형) PASS, 실제 Oracle DB CONV_FILE.BUILD_CHECK=PASS로 기록 확인(FILE_ID=5). TO-BE 폴더 구조(gscm/src/main/java/.../dto/)로 재저장 2026-08-27: 실제 Maven 모듈에서 `mvn compile` PASS 확인. 내용 변경 없음, 경로만 실 빌드 트리 기준으로 갱신.",2026-08-27
PLA047,(파생),-,-,"errors.properties, errors_en.properties","gscm/src/main/resources/message/errors.properties, errors_en.properties",N/A,N/A,수동+LLM,N/A,"진행중(파일 생성, 실제 문구는 TODO)",N/A(리소스 파일 - 컴파일 대상 아님),N/A,N/A(미생성),미검토,"E0052/W0024/I0016 등 메시지 코드 발견(FPLA047.java, PPLA047.java). 실제 메시지 문구는 NEXCORE 공통 메시지 리소스에서 확인 필요(아직 미확보) 2026-08-27: docs/09-common-conventions.md 확정과 함께 templates/common/resources/message/의 errors.properties·errors_en.properties를 gscm/src/main/resources/message/에 배치함. E0052/W0024/I0016 키는 등록했으나 실제 한/영 문구는 여전히 TODO(NEXCORE 공통 메시지 테이블 확인 전까지 추측하지 않음, com.skhynix.gscm.common.MessageCodeResolver가 TODO 상태에서도 예외 없이 코드 자체를 반환하도록 처리).",2026-08-27
PLA047,(파생),-,-,(계층 간 참조 검증 - 파일 아님),N/A,N/A,N/A,정적검증(chatui/validators.py),N/A,완료,PASS(정적검증),미실행,N/A,미검토,"2026-08-14 신규: Api의 service.xxx() 호출이 Service에 실제 정의돼 있는지, Service의 store.xxx() 호출이 Store에 실제 정의돼 있는지, Store가 참조하는 매퍼 statement id가 Mapper.xml에 실제 있는지 교차 확인. PLA047은 전부 PASS(골격 생성기가 delegate 연결을 이미 검증하며 만들기 때문). 실제 Oracle DB에 별도 CONV_FILE 행(AS_IS_LAYER=DERIVED, AS_IS_FILENAME=PLA047-cross-layer-check)으로 기록 확인(FILE_ID=6) 2026-08-27: 이 행은 여전히 chatui/validators.py의 정적 계층간참조 검사만 다룬다. 이제 실제 `mvn compile`도 gscm/에 별도로 존재하지만(Pla047Service.java 제외 전부 PASS), 이 정적 검사와 자동 연동돼 있진 않다 - 두 검증 모두 각자 CONV_FILE에 기록되도록 통합하는 건 이후 과제. 2026-08-27 추가: chatui/validators.py에 run_maven_compile()을 구현하고 chatui/app.py에 ""실제 mvn compile 실행"" 버튼을 붙여 CLI 없이도 실행 가능해졌다 - 다만 여전히 별도 버튼이고, 이 정적 계층간참조 검사가 실패해도 자동으로 mvn을 돌리진 않는다.",2026-08-27
